base1,shoulder1,elbow1,base2,shoulder2,elbow2,base3,shoulder3,elbow3,base4,shoulder4,elbow4,base5,shoulder5,elbow5,base6,shoulder6,elbow6,com_vx,com_vy,com_wz,height,e1x,e1y,e1z,e2x,e2y,e2z,e3x,e3y,e3z,e4x,e4y,e4z,e5x,e5y,e5z,e6x,e6y,e6z
-0.038089134,-0.0052584577,-1.7335789,0.21029034,-0.0629391,1.444596,-0.01893118,-0.005559096,-1.4557656,-0.23527499,-0.014910549,1.4588487,0.15358138,-0.079048015,-1.3388182,-0.1237061,-0.0420256,1.6851654,0.2,0.0,0.0,0.26238436,0.45178595,0.19526508,-0.22262159,0.5431476,-0.1885332,-0.23236148,0.051982433,0.537706,-0.23238045,-0.04437799,-0.5432736,-0.21597347,-0.57600224,0.29963258,-0.20903628,-0.43637198,-0.26916236,-0.23245803
-0.03720629,-0.010606869,-1.7089013,0.2043253,-0.06683769,1.4544784,-0.004633936,-0.0046615954,-1.4592546,-0.2275441,-0.016643723,1.4620322,0.15022635,-0.0875595,-1.3637973,-0.12677836,-0.042312354,1.6707274,0.2,0.0,0.0,0.26329252,0.46282208,0.20127343,-0.21865156,0.5388696,-0.18940699,-0.23329943,0.047019687,0.53681207,-0.23328124,-0.042162824,-0.5437707,-0.21559292,-0.5783022,0.30196384,-0.19908534,-0.44062498,-0.27027905,-0.23335882
-0.03653387,-0.012265888,-1.6857647,0.19783038,-0.06945688,1.4663184,0.010558637,-0.0053303316,-1.4642527,-0.21954586,-0.017938785,1.4681695,0.14691447,-0.088542625,-1.3889776,-0.13015348,-0.04153284,1.6567557,0.2,0.0,0.0,0.26376233,0.4707051,0.20551297,-0.21764474,0.5341719,-0.19040099,-0.23379946,0.04181284,0.5358583,-0.23376077,-0.039366893,-0.54283506,-0.21540463,-0.5731026,0.30122218,-0.1980837,-0.44526923,-0.27145725,-0.2338064
-0.03595288,-0.013414191,-1.6668845,0.18987615,-0.07112806,1.4794925,0.025533218,-0.00647373,-1.4697409,-0.21056823,-0.019340886,1.4737593,0.14366457,-0.09006796,-1.4142296,-0.13352518,-0.04061346,1.6426793,0.2,0.0,0.0,0.2640435,0.4774802,0.20885685,-0.21764624,0.52946454,-0.19154957,-0.23407777,0.03661208,0.53485256,-0.23405233,-0.03616986,-0.5411545,-0.21533836,-0.5656291,0.2996107,-0.20026922,-0.4499672,-0.27258468,-0.23410204
-0.035595622,-0.014774719,-1.6553059,0.18094727,-0.071979344,1.4931737,0.03977918,-0.007580968,-1.4752492,-0.19944637,-0.021001298,1.4771581,0.14048463,-0.09235417,-1.4387884,-0.13682401,-0.040142756,1.6282313,0.2,0.0,0.0,0.26425093,0.4830402,0.2114836,-0.21774627,0.52459025,-0.19308597,-0.23429495,0.03160137,0.5337756,-0.23425686,-0.03269093,-0.53958637,-0.2154352,-0.5581799,0.29802337,-0.20196302,-0.4547343,-0.27365506,-0.23430237
-0.035451382,-0.01643231,-1.6442996,0.17093605,-0.07196677,1.5069761,0.05302345,-0.008323806,-1.4806153,-0.18523246,-0.022570776,1.4786568,0.13741565,-0.09497793,-1.4613622,-0.14003822,-0.040003568,1.6135623,0.2,0.0,0.0,0.26439553,0.4866802,0.21300675,-0.21769872,0.51969874,-0.1949132,-0.2344518,0.026901335,0.5326071,-0.23439912,-0.028716017,-0.5385988,-0.21562304,-0.5511019,0.29659393,-0.20286314,-0.4595459,-0.27462804,-0.23443405
-0.035305243,-0.018426504,-1.6331037,0.15945947,-0.07140962,1.5212177,0.065479025,-0.008945175,-1.4858931,-0.16736084,-0.024063041,1.4789149,0.13451721,-0.09743528,-1.4796124,-0.1431639,-0.040180776,1.598793,0.2,0.0,0.0,0.26447552,0.49016437,0.214595,-0.21762016,0.51489776,-0.19689749,-0.23452608,0.022444787,0.53139186,-0.2344745,-0.023844445,-0.53813285,-0.21587652,-0.54478097,0.29537717,-0.2030568,-0.46437824,-0.27551997,-0.23450987
-0.035163525,-0.020603051,-1.6228138,0.14732192,-0.070306405,1.5356205,0.07739723,-0.009467608,-1.491101,-0.14598924,-0.02527183,1.4787741,0.13177148,-0.09953389,-1.4906427,-0.14618179,-0.040600516,1.5839841,0.2,0.0,0.0,0.26448283,0.4936842,0.21637537,-0.21750171,0.50995445,-0.19913425,-0.2345344,0.018159438,0.53016585,-0.23448253,-0.017853433,-0.53798604,-0.21613061,-0.5397664,0.29456562,-0.20275584,-0.4692139,-0.27634823,-0.234508
-0.035023037,-0.02281329,-1.6132271,0.13492006,-0.06859013,1.5500269,0.08892095,-0.009837641,-1.4961094,-0.121704236,-0.026016362,1.4788277,0.12918366,-0.101001285,-1.5009125,-0.14906307,-0.041380372,1.56899,0.2,0.0,0.0,0.2644297,0.49692056,0.21815942,-0.21737747,0.50502443,-0.20139937,-0.23448604,0.013977485,0.5289372,-0.23442972,-0.01072632,-0.5379065,-0.21637438,-0.53680784,0.29449368,-0.2019898,-0.4740282,-0.27713177,-0.23444237
-0.03493601,-0.025261449,-1.6043031,0.12194634,-0.066397,1.5649233,0.10017194,-0.010414519,-1.5009998,-0.09559003,-0.026581813,1.4789155,0.12669905,-0.10200837,-1.5107614,-0.15190184,-0.042712376,1.5536813,0.2,0.0,0.0,0.2643118,0.49986055,0.21996425,-0.21729994,0.5001656,-0.20358935,-0.23436542,0.009823785,0.5277545,-0.23431069,-0.0026818682,-0.5376735,-0.21656276,-0.5340427,0.29440776,-0.20118499,-0.47885916,-0.27785814,-0.23432264
